location,start,stop,lat,lon,notes
US / Washington / King,2020-03-02,2020-03-22,,,Seattle
US / New York / New York,2020-03-19,2020-03-31,,,
Italy,2020-02-24,2020-03-12,45.7,9.67,Bergamo
France,2020-03-05,2020-03-27,48.4,5.50
Spain,2020-03-06,2020-03-18,
United Kingdom,2020-03-10,2020-03-19,51.51,-0.13,London
Netherlands,2020-03-11,2020-03-23
Germany,2020-03-13,2020-03-29
Philippines,2020-03-13,2020-04-05
Belgium,2020-03-16,2020-03-22,
Sweden,2020-03-16,2020-04-04,
Norway,2020-03-18,2020-04-09
Portugal,2020-03-21,2020-03-29
Greece,2020-03-21,2020-04-01
Indonesia,2020-03-22,2020-04-15
Pakistan,2020-03-22,2020-03-30
Egypt,2020-03-23,2020-04-13
Morocco,2020-03-27,2020-04-09,31.63,-8.01,Marrakesh
Finland,2020-03-31,2020-04-26
Iran,2020-02-27,2020-03-18,35.67,51.30,Tehran
Brazil,2020-03-23,2020-04-10,-23.53,-46.63,SaoPaulo
India,2020-03-20,2020-04-11,19.10,72.88,Mumbai
